"Pathogen","year","State","count","Population","yearn"
"CAMPYLOBACTER",1996,"CA",1189,2087032,1996
"CAMPYLOBACTER",1996,"CT",263,1622809,1996
"CAMPYLOBACTER",1996,"GA",328,2720443,1996
"CAMPYLOBACTER",1996,"MN",891,4647723,1996
"CAMPYLOBACTER",1996,"OR",696,3195087,1996
"CAMPYLOBACTER",1997,"CA",1026,4751094.83333333,1997
"CAMPYLOBACTER",1997,"CT",527,5721997,1997
"CAMPYLOBACTER",1997,"GA",503,3632206,1997
"CAMPYLOBACTER",1997,"MN",1171,9375452,1997
"CAMPYLOBACTER",1997,"OR",733,4864881,1997
"CAMPYLOBACTER",1998,"CA",789,5203582,1998
"CAMPYLOBACTER",1998,"CT",603,6545126,1998
"CAMPYLOBACTER",1998,"GA",468,7488044,1998
"CAMPYLOBACTER",1998,"MD",246,4882558,1998
"CAMPYLOBACTER",1998,"MN",1002,9452822,1998
"CAMPYLOBACTER",1998,"NY",221,2210124,1998
"CAMPYLOBACTER",1998,"OR",693,6564110,1998
"CAMPYLOBACTER",1999,"CA",697,5257859,1999
"CAMPYLOBACTER",1999,"CT",564,6564062,1999
"CAMPYLOBACTER",1999,"GA",673,15576480,1999
"CAMPYLOBACTER",1999,"MD",166,4901132,1999
"CAMPYLOBACTER",1999,"MN",782,9551016,1999
"CAMPYLOBACTER",1999,"NY",359,4168906,1999
"CAMPYLOBACTER",1999,"OR",591,6632308,1999
"CAMPYLOBACTER",2000,"CA",1186,6361070,2000
"CAMPYLOBACTER",2000,"CT",584,6823554,2000
"CAMPYLOBACTER",2000,"GA",589,16454606,2000
"CAMPYLOBACTER",2000,"MD",189,5034390,2000
"CAMPYLOBACTER",2000,"MN",1079,9867384,2000
"CAMPYLOBACTER",2000,"NY",342,4230114,2000
"CAMPYLOBACTER",2000,"OR",558,6859416,2000
"CAMPYLOBACTER",2000,"TN",181,5652762,2000
"CAMPYLOBACTER",2001,"CA",999,6442602,2001
"CAMPYLOBACTER",2001,"CO",343,4299626,2001
"CAMPYLOBACTER",2001,"CT",495,6865670,2001
"CAMPYLOBACTER",2001,"GA",613,16754076,2001
"CAMPYLOBACTER",2001,"MD",300,8486684,2001
"CAMPYLOBACTER",2001,"MN",954,9965592,2001
"CAMPYLOBACTER",2001,"NY",248,4239942,2001
"CAMPYLOBACTER",2001,"OR",586,6935874,2001
"CAMPYLOBACTER",2001,"TN",213,5705808,2001
"CAMPYLOBACTER",2002,"CA",1018,6429382,2002
"CAMPYLOBACTER",2002,"CO",347,4989018,2002
"CAMPYLOBACTER",2002,"CT",542,6917498,2002
"CAMPYLOBACTER",2002,"GA",664,17016512,2002
"CAMPYLOBACTER",2002,"MD",374,10880778,2002
"CAMPYLOBACTER",2002,"MN",941,10037870,2002
"CAMPYLOBACTER",2002,"NY",431,6665478,2002
"CAMPYLOBACTER",2002,"OR",567,7026848,2002
"CAMPYLOBACTER",2002,"TN",180,5757746,2002
"CAMPYLOBACTER",2003,"CA",870,6415708,2003
"CAMPYLOBACTER",2003,"CO",371,5023214,2003
"CAMPYLOBACTER",2003,"CT",543,6968672,2003
"CAMPYLOBACTER",2003,"GA",622,17245586,2003
"CAMPYLOBACTER",2003,"MD",421,10992538,2003
"CAMPYLOBACTER",2003,"MN",937,10107144,2003
"CAMPYLOBACTER",2003,"NY",472,7963460,2003
"CAMPYLOBACTER",2003,"OR",580,7094752,2003
"CAMPYLOBACTER",2003,"TN",456,11695624,2003
"CAMPYLOBACTER",2004,"CA",920,6398940,2004
"CAMPYLOBACTER",2004,"CO",501,5065078,2004
"CAMPYLOBACTER",2004,"CT",587,6992188,2004
