"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,2064,14273094,14.46,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,12.47,14.55,13.41,0.76,0.9,0.82,-24.25,-10.3,-17.6,"2016-2018"
1997,2186,16129864,13.55,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,12.85,14.47,13.61,0.78,0.9,0.84,-22.12,-10.35,-16.37,"2016-2018"
1998,2820,20714198,13.61,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,13.51,14.83,14.18,0.82,0.92,0.87,-18.21,-7.8,-12.94,"2016-2018"
1999,4155,25859311,16.07,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,14.01,15.38,14.65,0.85,0.95,0.9,-15.42,-4.71,-10.07,"2016-2018"
2000,4315,30641648,14.08,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,14.38,15.66,14.98,0.87,0.97,0.92,-13.1,-2.7,-7.98,"2016-2018"
2001,5240,34847937,15.04,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,14.52,15.76,15.11,0.88,0.98,0.93,-12.08,-1.82,-7.16,"2016-2018"
2002,6149,37860565,16.24,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,14.58,15.78,15.14,0.88,0.98,0.93,-11.84,-1.63,-6.98,"2016-2018"
2003,6038,41753349,14.46,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,14.57,15.72,15.12,0.88,0.98,0.93,-11.9,-1.93,-7.13,"2016-2018"
2004,6498,44344180,14.65,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,14.56,15.67,15.08,0.88,0.98,0.93,-12.2,-2.28,-7.38,"2016-2018"
2005,6504,44766459,14.53,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,14.57,15.72,15.14,0.88,0.98,0.93,-12.13,-1.86,-7.06,"2016-2018"
2006,6689,45324523,14.76,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,14.66,15.86,15.26,0.89,0.99,0.94,-11.38,-0.8,-6.31,"2016-2018"
2007,6828,45842135,14.89,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,14.84,16.05,15.44,0.89,1,0.95,-10.7,-0.08,-5.16,"2016-2018"
2008,7459,46326017,16.1,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,15.1,16.27,15.67,0.91,1.01,0.96,-8.87,1.42,-3.72,"2016-2018"
2009,7029,46759709,15.03,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,15.33,16.52,15.91,0.93,1.03,0.98,-7.24,2.84,-2.29,"2016-2018"
2010,8274,47144778,17.55,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,15.51,16.76,16.1,0.94,1.04,0.99,-6.27,3.97,-1.11,"2016-2018"
2011,7815,47523111,16.44,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,15.6,16.88,16.21,0.94,1.05,1,-5.55,4.55,-0.47,"2016-2018"
2012,7952,47896024,16.6,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,15.65,16.87,16.24,0.95,1.04,1,-5.01,4.45,-0.26,"2016-2018"
2013,7390,48216768,15.33,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,15.63,16.85,16.23,0.95,1.04,1,-4.78,4.07,-0.25,"2016-2018"
2014,7557,48574193,15.56,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,15.59,16.86,16.24,0.96,1.04,1,-4.32,3.57,-0.16,"2016-2018"
2015,8143,48948539,16.64,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,15.65,16.92,16.27,0.97,1.03,1,-3.32,2.71,0.06,"2016-2018"
2016,8214,49329732,16.65,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,15.69,16.93,16.3,0.98,1.02,1,-1.64,1.55,0.21,"2016-2018"
2017,7941,49669350,15.99,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,15.66,16.91,16.29,1,1,1,0,0.41,0,"2016-2018"
2018,9136,49976013,18.28,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,15.61,16.88,16.2,0.98,1.01,0.99,-1.97,1.06,-0.61,"2016-2018"
2019,8595,50230232,17.11,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,15.42,16.67,16.02,0.96,1.01,0.98,-4.29,1.26,-1.67,"2016-2018"
2020,6725,50800839,13.24,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,15.18,16.4,15.76,0.93,1.01,0.97,-6.95,0.56,-3.22,"2016-2018"
2021,7326,50850418,14.41,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,14.89,16.11,15.49,0.91,1,0.95,-9.33,-0.29,-4.84,"2016-2018"
2022,8281,51000988,16.24,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,14.58,15.99,15.25,0.89,0.99,0.94,-11.48,-0.64,-6.32,"2016-2018"
2023,7664,51000988,15.03,8214,49669350,7782.85,8391.54,8086.4,15.67,16.89,16.28,14.18,16.02,15.05,0.86,0.99,0.92,-14.21,-0.61,-7.57,"2016-2018"
