"year","count","population","raw_ir","baseline_count","baseline_population","baseline_.epred_lower_hdi","baseline_.epred_upper_hdi","baseline_.epred_est","baseline_ir_lower_hdi","baseline_ir_upper_hdi","baseline_ir","est_ir_lower_hdi","est_ir_upper_hdi","est_ir","relative_risk_lower_hdi","relative_risk_upper_hdi","relative_risk_est","percent_change_lower_hdi","percent_change_upper_hdi","percent_change_est","comparison_period"
1996,21,14273094,0.15,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.16,0.27,0.21,0.23,0.4,0.31,-76.68,-60.25,-68.94,"2016-2018"
1997,52,16129864,0.32,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.17,0.26,0.21,0.25,0.38,0.31,-75.25,-61.8,-68.66,"2016-2018"
1998,50,20714198,0.24,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.18,0.25,0.21,0.26,0.37,0.32,-73.53,-62.56,-68.19,"2016-2018"
1999,48,25859311,0.19,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.19,0.25,0.22,0.27,0.38,0.32,-72.79,-62.35,-67.59,"2016-2018"
2000,54,30641648,0.18,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.2,0.26,0.23,0.29,0.4,0.34,-70.67,-60.49,-65.72,"2016-2018"
2001,79,34847937,0.23,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.22,0.27,0.24,0.31,0.41,0.36,-68.76,-58.73,-63.86,"2016-2018"
2002,104,37860565,0.27,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.23,0.28,0.25,0.33,0.43,0.38,-67.18,-57.3,-62.32,"2016-2018"
2003,110,41753349,0.26,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.23,0.28,0.26,0.33,0.42,0.38,-66.92,-57.55,-62.18,"2016-2018"
2004,123,44344180,0.28,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.24,0.28,0.26,0.34,0.43,0.38,-65.84,-56.73,-61.56,"2016-2018"
2005,121,44766459,0.27,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.25,0.3,0.27,0.36,0.45,0.41,-64.05,-54.71,-59.48,"2016-2018"
2006,156,45324523,0.34,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.26,0.31,0.29,0.38,0.48,0.43,-61.96,-52.3,-57.31,"2016-2018"
2007,110,45842135,0.24,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.28,0.33,0.3,0.4,0.5,0.45,-59.85,-49.71,-54.87,"2016-2018"
2008,136,46326017,0.29,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.3,0.35,0.32,0.43,0.53,0.48,-57.49,-46.94,-52.06,"2016-2018"
2009,161,46759709,0.34,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.32,0.38,0.35,0.46,0.57,0.51,-54.03,-43.25,-48.78,"2016-2018"
2010,195,47144778,0.41,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.34,0.4,0.37,0.49,0.6,0.55,-50.94,-39.76,-45.08,"2016-2018"
2011,157,47523111,0.33,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.37,0.43,0.4,0.53,0.65,0.59,-46.81,-35.3,-40.97,"2016-2018"
2012,202,47896024,0.42,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.4,0.47,0.43,0.58,0.69,0.64,-42.39,-30.51,-36.44,"2016-2018"
2013,254,48216768,0.53,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.43,0.5,0.46,0.63,0.75,0.69,-37.41,-25.38,-31.23,"2016-2018"
2014,222,48574193,0.46,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.46,0.55,0.5,0.69,0.8,0.75,-31.29,-19.94,-25.13,"2016-2018"
2015,204,48948539,0.42,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.51,0.59,0.55,0.77,0.86,0.82,-23,-13.69,-17.93,"2016-2018"
2016,254,49329732,0.51,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.57,0.66,0.61,0.88,0.93,0.91,-12.47,-7.1,-9.48,"2016-2018"
2017,341,49669350,0.69,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.62,0.73,0.68,1,1,1,0,0,0,"2016-2018"
2018,579,49976013,1.16,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.68,0.8,0.74,1.07,1.13,1.1,7.3,13.14,10.03,"2016-2018"
2019,481,50230232,0.96,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.74,0.88,0.81,1.15,1.26,1.2,14.53,25.97,20.1,"2016-2018"
2020,327,50800839,0.64,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.81,0.96,0.88,1.22,1.39,1.3,21.8,39.32,30.19,"2016-2018"
2021,482,50850418,0.95,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.87,1.03,0.95,1.28,1.53,1.41,28.15,53.05,40.59,"2016-2018"
2022,498,51000988,0.98,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.93,1.14,1.02,1.35,1.7,1.52,35.13,69.85,51.79,"2016-2018"
2023,521,51000988,1.02,341,49669350,310.32,361.76,335.37,0.62,0.73,0.68,0.97,1.27,1.11,1.41,1.89,1.65,41.17,89.43,64.86,"2016-2018"
