pathogen,travel,culture,startyear,endyear,yearn,count_median,,,,,,,inc,Est IR,IRR,.value_median,ref_value_median,ref_count_median,population_median,ref_pop_median,pinc_median,pinc_LL,pinc_UL,ref.est.ir_median,ref.est.ir_LL,ref.est.ir_UL,ref.ir_median,rr_median,rr_LL,rr_UL,pct.change_median,pct.change_LL,pct.change_UL
LISTERIA,Travel Included,Cx,2004,2006,2023,161,,,,,,,0.32,,,149.9086833,126.1201188,124.6666667,51000988,44811720.67,0.2939329,0.258117645,0.336406055,0.28144449,0.260924054,0.303240833,0.278201026,1.04,0.9,1.22,4.49,-10.29,22.2
VIBRIO,Travel Included,Cx,2004,2006,2023,211,,,,,,,0.41,,,247.7830659,125.0218048,133.3333333,51000988,44811720.67,0.485839737,0.420634554,0.562060984,0.278993538,0.255457408,0.305030627,0.297541204,1.74,1.47,2.07,74.26,46.53125,106.935
YERSINIA,Travel Included,Cx,2004,2006,2023,359,,,,,,,0.7,,,300.4335078,167.2705129,167,51000988,44811720.67,0.589073898,0.510341026,0.680051757,0.373274024,0.342773224,0.40623365,0.372670358,1.58,1.33,1.87,57.81,33.27,86.72875
STEC O157,Travel Included,Cx,2004,2006,2023,298,,,,,,,0.58,,,309.7838624,546.8497118,488.3333333,51000988,44811720.67,0.607407571,0.533135028,0.689161792,1.220327414,1.131205052,1.308812759,1.089744661,0.5,0.43,0.58,-50.2,-56.95,-42.3525
STEC NONO157,Travel Included,Cx,2004,2006,2023,1112,,,,,,,2.18,,,1074.154254,135.3752837,137.6666667,51000988,44811720.67,2.10614401,1.82884799,2.46418806,0.302097937,0.268857022,0.340585674,0.307211293,6.98,5.81,8.44,597.87,481.10625,744.235
SHIGELLA,Travel Included,Cx,2004,2006,2023,1517,,,,,,,2.97,,,1277.432931,2672.904003,2369.333333,51000988,44811720.67,2.504721931,2.059348657,3.12548732,5.96474307,5.228828751,6.918247379,5.2873072,0.42,0.33,0.54,-57.98,-67.43,-45.61
STEC,Travel Included,Cx,2004,2006,2023,1425,,,,,,,2.79,,,1363.330023,693.6601816,650,51000988,44811720.67,2.673144337,2.397689648,3.001581866,1.547943643,1.44056553,1.666910949,1.450513371,1.73,1.52,1.97,72.59,51.97375,97.47
CAMPYLOBACTER,Travel Included,Cx,2004,2006,2023,5089,,,,,,,9.98,,,4741.372896,5724.956836,5716,51000988,44811720.67,9.296629501,8.830383242,9.803458501,12.77557914,12.40757008,13.17060846,12.75559143,0.73,0.68,0.77,-27.235,-31.51,-22.64125
SALMONELLA,Travel Included,Cx,2004,2006,2023,6928,,,,,,,13.58,,,6708.573223,6801.667783,6563.666667,51000988,44811720.67,13.15381032,12.43509154,13.96352276,15.17832318,14.6405825,15.74136799,14.64720963,0.87,0.81,0.93,-13.32,-18.82,-7.28
LISTERIA,Travel Included,Cx,2006,2008,2023,161,,,,,,,0.32,,,149.9086833,126.2513358,122,51000988,45830891.67,0.2939329,0.258117645,0.336406055,0.275472135,0.256219592,0.296288558,0.266195999,1.07,0.92,1.25,6.77,-8.29875,24.78625
VIBRIO,Travel Included,Cx,2006,2008,2023,211,,,,,,,0.41,,,247.7830659,142.6137931,134,51000988,45830891.67,0.485839737,0.420634554,0.562060984,0.311173944,0.286365304,0.339199409,0.292379212,1.56,1.32,1.85,56.18,31.54,85.31375
YERSINIA,Travel Included,Cx,2006,2008,2023,359,,,,,,,0.7,,,300.4335078,163.2190868,164.3333333,51000988,45830891.67,0.589073898,0.510341026,0.680051757,0.356133343,0.327774707,0.387512927,0.358564556,1.65,1.4,1.96,65.46,40.1025,95.70625
STEC O157,Travel Included,Cx,2006,2008,2023,298,,,,,,,0.58,"0.61 (0.53, 0.69)","0.53 (0.46, 0.61)",309.7838624,526.0541691,552,51000988,45830891.67,0.607407571,0.533135028,0.689161792,1.147815698,1.068902573,1.226119917,1.2044278,0.53,0.46,0.61,-47.01,-54.16,-38.83125
STEC NONO157,Travel Included,Cx,2006,2008,2023,1112,,,,,,,2.18,"2.11 (1.83, 2.46)","4.25 (3.58, 5.09)",1074.154254,227.5167456,239.3333333,51000988,45830891.67,2.10614401,1.82884799,2.46418806,0.496426618,0.451056921,0.546658935,0.522209638,4.25,3.58,5.09,324.675,257.86125,409.11125
SHIGELLA,Travel Included,Cx,2006,2008,2023,1517,,,,,,,2.97,"2.5 (2.06, 3.13)","0.46 (0.35, 0.6)",1277.432931,2506.752164,2892.333333,51000988,45830891.67,2.504721931,2.059348657,3.12548732,5.469568827,4.790247075,6.387319113,6.310881652,0.46,0.35,0.6,-54.21,-64.74875,-40.2325
STEC,Travel Included,Cx,2006,2008,2023,1425,,,,,,,2.79,"2.67 (2.4, 3)","1.6 (1.41, 1.83)",1363.330023,764.7618837,814,51000988,45830891.67,2.673144337,2.397689648,3.001581866,1.668660277,1.560797916,1.786040781,1.776094617,1.6,1.41,1.83,60.13,41.17125,82.65625
CAMPYLOBACTER,Travel Included,Cx,2006,2008,2023,5089,,,,,,,9.98,"9.3 (8.83, 9.8)","0.73 (0.68, 0.77)",4741.372896,5863.33297,5833.333333,51000988,45830891.67,9.296629501,8.830383242,9.803458501,12.79340802,12.43487602,13.18178588,12.72795078,0.73,0.68,0.77,-27.35,-31.63,-22.72
SALMONELLA,Travel Included,Cx,2006,2008,2023,6928,,,,,,,13.58,"13.15 (12.44, 13.96)","0.85 (0.8, 0.91)",6708.573223,7091.110593,6992,51000988,45830891.67,13.15381032,12.43509154,13.96352276,15.47233827,14.91971927,16.03951319,15.25608546,0.85,0.8,0.91,-14.97,-20.49,-8.90125
LISTERIA,Travel Included,Cx,2016,2018,2023,161,,,,,,,0.32,"0.29 (0.26, 0.34)","1.12 (0.97, 1.29)",149.9086833,130.6179027,139.3333333,51000988,49658365,0.29,0.26,0.34,0.26,0.24,0.28,0.280583812,1.12,0.97,1.29,11.64,-3.07,29.33
VIBRIO,Travel Included,Cx,2016,2018,2023,211,,,,,,,0.41,"0.49 (0.42, 0.56)","1.01 (0.85, 1.18)",247.7830659,240.1999558,271.3333333,51000988,49658365,0.49,0.42,0.56,0.48,0.45,0.52,0.546400054,1.01,0.85,1.18,0.59,-15.10875,17.84
YERSINIA,Travel Included,Cx,2016,2018,2023,359,,,,,,,0.7,"0.59 (0.51, 0.68)","1.36 (1.14, 1.63)",300.4335078,214.5475248,230.6666667,51000988,49658365,0.59,0.51,0.68,0.43,0.39,0.48,0.464507171,1.36,1.14,1.63,36.33,14.43125,62.89875
STEC O157,Travel Included,Cx,2016,2018,2023,298,,,,,,,0.58,"0.61 (0.53, 0.69)","0.72 (0.62, 0.82)",309.7838624,417.3476494,460,51000988,49658365,0.61,0.53,0.69,0.84,0.78,0.9,0.92632933,0.72,0.62,0.82,-27.66,-37.54,-17.83
STEC NONO157,Travel Included,Cx,2016,2018,2023,1112,,,,,,,2.18,"2.11 (1.83, 2.46)","1.03 (0.87, 1.23)",1074.154254,1018.927951,1040,51000988,49658365,2.11,1.83,2.46,2.05,1.9,2.23,2.094309791,1.03,0.87,1.23,2.63,-12.91875,22.77
SHIGELLA,Travel Included,Cx,2016,2018,2023,1517,,,,,,,2.97,"2.5 (2.06, 3.13)","0.7 (0.56, 0.89)",1277.432931,1766.261574,1775.333333,51000988,49658365,2.5,2.06,3.13,3.56,3.17,4.03,3.575094213,0.7,0.56,0.89,-29.51,-43.51875,-11.31
STEC,Travel Included,Cx,2016,2018,2023,1425,,,,,,,2.79,"2.67 (2.4, 3)","0.94 (0.83, 1.08)",1363.330023,1409.603475,1508.666667,51000988,49658365,2.67,2.4,3,2.84,2.66,3.03,3.038091703,0.94,0.83,1.08,-5.83,-17.40875,7.99875
CAMPYLOBACTER,Travel Included,Cx,2016,2018,2023,5089,,,,,,,9.98,"9.3 (8.83, 9.8)","0.78 (0.74, 0.83)",4741.372896,5910.706204,6007.333333,51000988,49658365,9.3,8.83,9.8,11.9,11.57,12.25,12.09732405,0.78,0.74,0.83,-21.9,-26.46,-17.07
SALMONELLA,Travel Included,Cx,2016,2018,2023,6928,,,,,,,13.58,"13.15 (12.44, 13.96)","0.88 (0.83, 0.95)",6708.573223,7387.355322,7650.666667,51000988,49658365,13.15,12.44,13.96,14.88,14.39,15.41,15.40660202,0.88,0.83,0.94875,-11.55,-17.19875,-5.5
LISTERIA,Travel Included,Cx,2020,2022,2023,161,,,,,,,0.32,"0.29 (0.26, 0.34)","1.06 (0.97, 1.16)",149.9086833,141.5192865,134,51000988,50884081.67,0.2939329,0.258117645,0.336406055,0.27812094,0.255075666,0.303372414,0.263343654,1.06,0.97,1.16,5.54,-2.65,15.65875
